sample	prefix	sample_barcode	flowcell_barcode	lane	pop	ploidy	fq1	fq2
K2S2-A5	K2S2-A5_95_L1	K2S2-A5	HCKV7DRXX	L001	S2_S2-1	2	data/fastq/K2S2-A5_95_L1_R1_001.fastq.gz	data/fastq/K2S2-A5_95_L1_R2_001.fastq.gz
K2S2-A5	K2S2-A5_95_L2	K2S2-A5	HCKV7DRXX	L002	S2_S2-1	2	data/fastq/K2S2-A5_95_L2_R1_001.fastq.gz	data/fastq/K2S2-A5_95_L2_R2_001.fastq.gz
K2S2-A5	K2S2-A5_96_L1	K2S2-A5	HCLMHDRXX	L001	S2_S2-1	2	data/fastq/K2S2-A5_96_L1_R1_001.fastq.gz	data/fastq/K2S2-A5_96_L1_R2_001.fastq.gz
K2S2-A5	K2S2-A5_96_L2	K2S2-A5	HCLMHDRXX	L002	S2_S2-1	2	data/fastq/K2S2-A5_96_L2_R1_001.fastq.gz	data/fastq/K2S2-A5_96_L2_R2_001.fastq.gz
K2S2-A5	K2S2-A5_seq2_L2	K2S2-A5	HJ3TTDRXX	L002	S2_S2-1	2	data/fastq/K2S2-A5_seq2_L2_R1_001.fastq.gz	data/fastq/K2S2-A5_seq2_L2_R2_001.fastq.gz
K2S2-A17	K2S2-A17_95_L1	K2S2-A17	HCKV7DRXX	L001	S2_S2-1	2	data/fastq/K2S2-A17_95_L1_R1_001.fastq.gz	data/fastq/K2S2-A17_95_L1_R2_001.fastq.gz
K2S2-A17	K2S2-A17_95_L2	K2S2-A17	HCKV7DRXX	L002	S2_S2-1	2	data/fastq/K2S2-A17_95_L2_R1_001.fastq.gz	data/fastq/K2S2-A17_95_L2_R2_001.fastq.gz
K2S2-A17	K2S2-A17_96_L1	K2S2-A17	HCLMHDRXX	L001	S2_S2-1	2	data/fastq/K2S2-A17_96_L1_R1_001.fastq.gz	data/fastq/K2S2-A17_96_L1_R2_001.fastq.gz
K2S2-A17	K2S2-A17_96_L2	K2S2-A17	HCLMHDRXX	L002	S2_S2-1	2	data/fastq/K2S2-A17_96_L2_R1_001.fastq.gz	data/fastq/K2S2-A17_96_L2_R2_001.fastq.gz
K2S2-A17	K2S2-A17_seq2_L2	K2S2-A17	HJ3TTDRXX	L002	S2_S2-1	2	data/fastq/K2S2-A17_seq2_L2_R1_001.fastq.gz	data/fastq/K2S2-A17_seq2_L2_R2_001.fastq.gz
K2S2-A12	K2S2-A12_95_L1	K2S2-A12	HCKV7DRXX	L001	S2_S2-1	2	data/fastq/K2S2-A12_95_L1_R1_001.fastq.gz	data/fastq/K2S2-A12_95_L1_R2_001.fastq.gz
K2S2-A12	K2S2-A12_95_L2	K2S2-A12	HCKV7DRXX	L002	S2_S2-1	2	data/fastq/K2S2-A12_95_L2_R1_001.fastq.gz	data/fastq/K2S2-A12_95_L2_R2_001.fastq.gz
K2S2-A12	K2S2-A12_96_L1	K2S2-A12	HCLMHDRXX	L001	S2_S2-1	2	data/fastq/K2S2-A12_96_L1_R1_001.fastq.gz	data/fastq/K2S2-A12_96_L1_R2_001.fastq.gz
K2S2-A12	K2S2-A12_96_L2	K2S2-A12	HCLMHDRXX	L002	S2_S2-1	2	data/fastq/K2S2-A12_96_L2_R1_001.fastq.gz	data/fastq/K2S2-A12_96_L2_R2_001.fastq.gz
K2S2-A12	K2S2-A12_seq2_L2	K2S2-A12	HJ3TTDRXX	L002	S2_S2-1	2	data/fastq/K2S2-A12_seq2_L2_R1_001.fastq.gz	data/fastq/K2S2-A12_seq2_L2_R2_001.fastq.gz
