sample	prefix	sample_barcode	lane	ploidy	fq1	fq2	pop	elevation
NAY-Z19	NAYZ19_L1	NAY-Z19	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYZ19_L1_R1_001_zqlNDWUbb5l3.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYZ19_L1_R2_001_QJzBuXEwYaiN.fastq.gz	TNA	high
NAY-Z19	NAYZ19_L2	NAY-Z19	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYZ19_L2_R1_001_J9XAdghi4OJF.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYZ19_L2_R2_001_DJX8KHsAEgqa.fastq.gz	TNA	high
PRE-10	PRE10_seq2_L1	PRE-10	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE10_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE10_seq2_L1_R2_001.fastq.gz	TPR	low
PRE-10	PRE10_L1	PRE-10	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE10_L1_R1_001_BZFnSiebA8Pm.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE10_L1_R2_001_VRjCDoFA776a.fastq.gz	TPR	low
PRE-10	PRE10_L2	PRE-10	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE10_L2_R1_001_jVm8tXl8McH6.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE10_L2_R2_001_l9kIi5MfKxLs.fastq.gz	TPR	low
PRE-10	PRE10_seq2_L2	PRE-10	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE10_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE10_seq2_L2_R2_001.fastq.gz	TPR	low
PRE-11	PRE11_L1	PRE-11	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE11_L1_R1_001_vU5Dh8CoWmWE.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE11_L1_R2_001_vVpo1z7EegMK.fastq.gz	TPR	low
PRE-11	PRE11_L2	PRE-11	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE11_L2_R1_001_FKDa5bQ3C1x1.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE11_L2_R2_001_Mks6eT7PDMHK.fastq.gz	TPR	low
PRE-2	PRE2_L1	PRE-2	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE2_L1_R1_001_c9aScb7i5JP4.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE2_L1_R2_001_Lph6FKrLSMxB.fastq.gz	TPR	low
PRE-2	PRE2_L2	PRE-2	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE2_L2_R1_001_y8GVcUzwqwcv.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE2_L2_R2_001_VOfuaDFXJbvM.fastq.gz	TPR	low
PRE-4	PRE4_L1	PRE-4	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE4_L1_R1_001_VoQxrJKO2eoA.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE4_L1_R2_001_CzNYpYx9L1Fe.fastq.gz	TPR	low
PRE-4	PRE4_L2	PRE-4	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE4_L2_R1_001_mPehS5eYVey8.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE4_L2_R2_001_9G9bXoGia3R0.fastq.gz	TPR	low
PRE-5	PRE5_L1	PRE-5	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE5_L1_R1_001_ekNEeOoOks8P.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE5_L1_R2_001_3J4fythL11g8.fastq.gz	TPR	low
PRE-5	PRE5_L2	PRE-5	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE5_L2_R1_001_gOruqrZGb7gL.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE5_L2_R2_001_mrFGGhNRJ3bE.fastq.gz	TPR	low
PRE-7	PRE7_L1	PRE-7	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE7_L1_R1_001_5WmQvpseOOM1.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE7_L1_R2_001_jfkYriuJ1ymS.fastq.gz	TPR	low
PRE-7	PRE7_L2	PRE-7	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE7_L2_R1_001_MgUgs3LoS9ev.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE7_L2_R2_001_k4Lug258cyZN.fastq.gz	TPR	low
PRE-8	PRE8_L1	PRE-8	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE8_L1_R1_001_ALBdp3W8AtP4.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE8_L1_R2_001_lP8wbi2ZJCcP.fastq.gz	TPR	low
PRE-8	PRE8_L2	PRE-8	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE8_L2_R1_001_2pKHLo7mr3Sw.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE8_L2_R2_001_58ab53Np3MGF.fastq.gz	TPR	low
PRE-9	PRE9_L1	PRE-9	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE9_L1_R1_001_sozP4dC1qvyt.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE9_L1_R2_001_3sAEZe9owFiU.fastq.gz	TPR	low
PRE-9	PRE9_L2	PRE-9	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE9_L2_R1_001_IRY6ClZUHtBK.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/PRE9_L2_R2_001_hP9O19tzagC1.fastq.gz	TPR	low
RAM-11	RAM11_L1	RAM-11	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM11_L1_R1_001_6N9lVhbkz4Za.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM11_L1_R2_001_n1yl18fTNT0S.fastq.gz	TRA	high
RAM-11	RAM11_L2	RAM-11	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM11_L2_R1_001_M3GzCMXix0lE.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM11_L2_R2_001_64PTYqHrptEO.fastq.gz	TRA	high
RAM-15	RAM15_L1	RAM-15	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM15_L1_R1_001_mQcwRBr0Rc4k.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM15_L1_R2_001_o1fiV6Zvaqsi.fastq.gz	TRA	high
RAM-15	RAM15_L2	RAM-15	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM15_L2_R1_001_GYxXCDCCYnFJ.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM15_L2_R2_001_ygsZ5LxJ2Qjb.fastq.gz	TRA	high
RAM-16	RAM16_L1	RAM-16	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM16_L1_R1_001_RcGk2SNfdJsQ.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM16_L1_R2_001_EeaoyrG6WyXO.fastq.gz	TRA	high
RAM-16	RAM16_L2	RAM-16	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM16_L2_R1_001_pmusV33tNNuI.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM16_L2_R2_001_NZ7nyOCkCuHG.fastq.gz	TRA	high
RAM-18	RAM18_L1	RAM-18	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM18_L1_R1_001_eijRTUP443ul.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM18_L1_R2_001_JRxoFnta5oBb.fastq.gz	TRA	high
